"ID","Area","COUNTY","EXTERNAL","DISTRICT","SUPER_DIST_25"
2098,0.457350,5,0,212,11
2343,0.954911,5,0,221,12
2322,0.909748,5,0,221,12
2078,0.077138,5,0,213,11
2073,0.211698,5,0,213,11
2067,0.182746,5,0,213,11
2097,0.288657,5,0,212,11
2320,0.635594,5,0,221,12
2321,0.774845,5,0,221,12
2327,1.028922,5,0,221,12
2318,2.134311,5,0,221,12
2314,6.730937,5,0,221,12
2315,1.271804,5,0,221,12
2316,6.093536,5,0,221,12
2333,0.943621,5,0,221,12
2329,0.706223,5,0,221,12
2328,0.340471,5,0,221,12
2084,0.316531,5,0,211,11
2276,5.228021,5,0,205,12
2254,1.251567,5,0,211,12
2065,0.054661,5,0,213,11
2044,0.052560,5,0,213,11
2068,0.040030,5,0,213,11
2071,0.069037,5,0,213,11
2066,0.080343,5,0,213,11
2072,0.088674,5,0,213,11
2075,0.170276,5,0,213,11
2074,0.378309,5,0,213,11
2335,1.105730,5,0,211,12
2339,2.741845,5,0,221,12
2313,3.820911,5,0,221,12
2340,3.410666,5,0,221,12
2064,0.018998,5,0,213,11
2053,0.066337,5,0,213,11
2055,0.115956,5,0,213,11
2051,0.090795,5,0,213,11
2050,0.099014,5,0,213,11
2046,0.237821,5,0,213,11
2047,0.108577,5,0,213,11
2083,0.193442,5,0,211,11
2252,2.016108,5,0,211,12
2248,1.165567,5,0,211,11
2057,0.306465,5,0,213,11
2056,0.132895,5,0,213,11
2052,0.135529,5,0,213,11
2049,0.091127,5,0,213,11
2048,0.317696,5,0,213,11
2080,1.340174,5,0,211,11
2082,0.565191,5,0,211,11
2334,0.950071,5,0,211,12
2250,0.531033,5,0,211,12
2081,1.324508,5,0,211,11
2115,2.190984,5,0,211,11
2249,4.049578,5,0,211,12
2282,5.087288,5,0,205,12
2284,9.977821,5,0,205,12
2275,12.165179,5,0,205,12
2386,7.261967,5,0,205,12
2382,3.732832,5,0,223,12
2381,3.871465,5,0,223,12
2384,3.116081,5,0,223,12
2379,3.827668,5,0,223,12
2378,7.655106,5,0,223,12
2277,12.066263,5,0,205,12
2372,4.362901,5,0,223,12
2373,8.158617,5,0,223,12
2380,7.377216,5,0,223,12
2371,14.309378,5,0,223,12
2341,0.839573,5,0,223,12
2375,2.591650,5,0,223,12
2377,2.410143,5,0,223,12
2403,0.051535,5,0,224,12
2407,0.600638,5,0,224,12
2401,0.308298,5,0,224,12
2413,2.819315,5,0,224,12
2404,0.571513,5,0,224,12
2406,0.529886,5,0,224,12
2402,0.579315,5,0,224,12
2405,1.038500,5,0,224,12
2397,11.615825,5,0,225,12
2836,0.504639,5,1,0,
2837,0.494865,5,1,0,
2388,0.393327,5,0,225,12
2839,0.452700,5,1,0,
2840,0.400184,5,1,0,
2838,0.500789,5,1,0,
2387,0.749800,5,0,225,12
2389,1.108711,5,0,225,12
2851,0.416262,5,1,0,
2850,0.528530,5,1,0,
2849,0.529938,5,1,0,
2848,0.485000,5,1,0,
2847,0.403003,5,1,0,
2846,0.511512,5,1,0,
2845,0.546905,5,1,0,
2844,0.441609,5,1,0,
2843,0.572146,5,1,0,
2842,0.554453,5,1,0,
2841,0.438163,5,1,0,
2398,12.144914,5,0,225,12
2391,20.858185,5,0,225,12
2393,20.602118,5,0,225,12
2392,15.838919,5,0,225,12
2390,16.947138,5,0,225,12
2396,12.764942,5,0,225,12
2394,14.420287,5,0,225,12
2356,1.933599,5,0,222,12
2363,1.317620,5,0,222,12
2295,0.559035,5,0,206,12
2385,12.450202,5,0,205,12
2303,9.433625,5,0,206,12
2293,0.607323,5,0,206,12
2414,18.379835,5,0,224,12
2412,6.563978,5,0,224,12
