"HH_ID","PER_ID","TOUR_ID","TOURMODE_RECODE","TOURPURP_RECODE","AUTOSUFF","finalweight"
163,1,1,"03_HOV3","Indi-Main",2,40.4657865
163,1,2,"03_HOV3","Indi-Main",2,40.4657865
163,1,3,"03_HOV3","Joint-Main",2,40.4657865
163,2,1,"01_SOV","Work",2,30.251376564
163,2,2,"01_SOV","At-Work",2,30.251376564
163,3,1,"03_HOV3","School",2,27.7949103
163,3,2,"03_HOV3","Joint-Disc",2,27.7949103
163,4,1,"03_HOV3","Indi-Main",2,28.8872095
163,4,2,"03_HOV3","Indi-Main",2,28.8872095
163,4,3,"03_HOV3","Joint-Main",2,28.8872095
164,1,1,"02_HOV2","Indi-Main",0,259.111277229
164,1,2,"01_SOV","Indi-Disc",0,259.111277229
165,1,1,"02_HOV2","Indi-Main",2,109.704584764
165,1,2,"02_HOV2","Indi-Main",2,109.704584764
165,1,3,"02_HOV2","Joint-Main",2,109.704584764
165,3,1,"02_HOV2","School",2,94.5189828
165,3,2,"02_HOV2","Joint-Main",2,94.5189828
165,4,1,"15_Schoolbus","School",2,78.877275
165,4,2,"15_Schoolbus","Indi-Disc",2,78.877275
166,2,1,"01_SOV","Indi-Main",2,25.97862855
166,2,2,"01_SOV","Indi-Main",2,25.97862855
167,1,1,"05_Bike","Indi-Disc",2,80.7322137
168,1,1,"02_HOV2","Work",2,71.6910841
168,1,2,"01_SOV","At-Work",2,71.6910841
168,2,1,"03_HOV3","Work",2,59.5008781
168,3,1,"02_HOV2","School",2,67.3210601
168,4,1,"02_HOV2","Indi-Disc",2,67.3210601
168,4,2,"03_HOV3","Indi-Disc",2,67.3210601
169,2,1,"04_Walk","Indi-Disc",2,414.1624092
170,1,1,"01_SOV","Work",1,80.012876055
170,2,1,"01_SOV","Work",1,65.53319409
170,3,1,"01_SOV","Work",1,87.68979429
170,4,1,"02_HOV2","Joint-Disc",1,73.71675381
170,5,1,"02_HOV2","Joint-Disc",1,92.0839518
171,2,1,"03_HOV3","Indi-Main",2,180.7110483
171,2,2,"03_HOV3","Indi-Main",2,180.7110483
171,3,1,"03_HOV3","School",2,167.8406666
171,4,1,"03_HOV3","Indi-Main",2,157.0474124
171,4,2,"03_HOV3","Indi-Main",2,157.0474124
172,1,1,"01_SOV","Work",2,144.99149553
172,1,2,"02_HOV2","Indi-Disc",2,144.99149553
172,1,3,"01_SOV","At-Work",2,144.99149553
172,2,1,"01_SOV","Work",2,144.99149553
172,2,2,"02_HOV2","Indi-Main",2,144.99149553
