id,purpose,freq_dep,freq_arr,freq_dur
25,work,15330.97288,40865.20324,80038.9556
26,atwork,3723.918807,6892.28796,0
26,esc,32125.79713,45074.65332,1111.622893
26,idisc,38490.02399,31139.43317,2520.485758
26,imain,28298.99947,48399.97723,1904.652593
26,jdisc,2179.311333,2000.578633,39.9310275
26,jmain,3903.726541,7051.41815,161.5708517
26,sch,1004.558564,119106.7746,18358.87041
26,Total,128634.8865,329455.7473,84395.27778
26,univ,3551.447613,10768.40252,2876.268763
26,work,15357.10304,59022.22177,57421.87548
27,atwork,8229.511154,4040.957294,0
27,esc,26588.01873,53786.85613,66.744397
27,idisc,45977.92177,32294.80763,3846.752575
27,imain,32660.0237,57976.07875,2316.713586
27,jdisc,5615.056993,1491.87069,345.0471972
27,jmain,6641.428957,5584.931724,15.87495315
27,sch,3017.988749,128715.3704,5357.878268
27,Total,144291.9104,389980.3136,52248.23785
27,univ,4778.286168,11856.57363,1570.6964
27,work,10783.67421,94232.86741,38728.53047
28,atwork,2644.210535,4711.390785,0
28,esc,24191.96129,31210.37581,112.5297196
28,idisc,40856.78385,22767.44569,387.3883919
28,imain,27254.84725,51621.94875,680.9255959
28,jdisc,7613.536413,2646.460283,0
28,jmain,4055.870446,6447.391134,0
28,sch,3469.477258,70052.01508,4420.015802
28,Total,125785.4999,315879.8852,34950.12792
28,univ,5503.982952,8600.460922,3248.752575
28,work,10194.82992,117822.3968,26100.51583
29,atwork,2079.410771,9073.855009,0
29,esc,21427.47518,21589.94522,585.7639907
29,idisc,47488.89281,29089.30461,3053.945857
29,imain,31651.26776,54599.38712,2111.618548
29,jdisc,12963.63612,3508.615762,0
29,jmain,8229.650544,5697.095976,0
29,sch,3896.04981,62396.7277,5264.622819
29,Total,138904.7647,370587.5292,44360.74173
29,univ,5824.687438,7116.963353,1316.62352
29,work,5343.694252,177515.6345,32028.167
30,atwork,1338.279353,1266.817077,0
30,esc,25201.80663,24705.75415,0
30,idisc,85324.58793,34804.60854,1286.057111
30,imain,26492.99188,42694.38713,2134.937153
30,jdisc,16149.31861,2310.668644,0
30,jmain,3256.564732,8114.930854,101.7011756
30,sch,4003.098863,39659.2006,1617.41814
30,Total,172009.9279,337176.155,18387.51407
30,univ,2488.09446,6239.157212,785.4384634
30,work,7755.185435,177380.6308,12461.96203
31,atwork,975.9092862,1748.828508,0
31,esc,8754.926174,18930.64914,66.9572299
31,idisc,73664.84878,38991.11677,178.3499807
