GEO_ID,TractID,CensusTract,County,State,Census_HH,Census_A0,Census_A1,Census_A2,Census_A3,Census_A4
1400000US26025002100,26025002100,Census Tract 21, Calhoun County, Michigan,488,68,238,134,43,5
1400000US26025002200,26025002200,Census Tract 22, Calhoun County, Michigan,1291,6,404,565,227,89
1400000US26025002300,26025002300,Census Tract 23, Calhoun County, Michigan,1595,129,455,688,236,87
1400000US26025002400,26025002400,Census Tract 24, Calhoun County, Michigan,1140,8,425,526,143,38
1400000US26025002500,26025002500,Census Tract 25, Calhoun County, Michigan,1604,17,328,729,321,209
1400000US26025002600,26025002600,Census Tract 26, Calhoun County, Michigan,792,143,430,196,19,4
1400000US26025002700,26025002700,Census Tract 27, Calhoun County, Michigan,2381,59,416,1290,446,170
1400000US26025002800,26025002800,Census Tract 28, Calhoun County, Michigan,1621,62,355,736,336,132
1400000US26025002900,26025002900,Census Tract 29, Calhoun County, Michigan,1230,56,352,558,158,106
1400000US26025003000,26025003000,Census Tract 30, Calhoun County, Michigan,797,12,177,342,197,69
1400000US26025003100,26025003100,Census Tract 31, Calhoun County, Michigan,1148,75,388,457,123,105
1400000US26025003200,26025003200,Census Tract 32, Calhoun County, Michigan,861,23,248,387,162,41
1400000US26025003300,26025003300,Census Tract 33, Calhoun County, Michigan,838,105,424,235,60,14
1400000US26025003400,26025003400,Census Tract 34, Calhoun County, Michigan,601,49,282,187,66,17
1400000US26025003500,26025003500,Census Tract 35, Calhoun County, Michigan,891,63,397,360,44,27
1400000US26025003600,26025003600,Census Tract 36, Calhoun County, Michigan,944,232,485,199,7,21
1400000US26025003700,26025003700,Census Tract 37, Calhoun County, Michigan,1782,28,500,785,305,164
1400000US26025003800,26025003800,Census Tract 38, Calhoun County, Michigan,1593,39,321,582,430,221
1400000US26025003900,26025003900,Census Tract 39, Calhoun County, Michigan,1943,82,749,852,242,18
1400000US26025004000,26025004000,Census Tract 40, Calhoun County, Michigan,1901,264,820,553,218,46
1400000US26025004100,26025004100,Census Tract 41, Calhoun County, Michigan,860,196,438,179,47,0
1400000US26027001000,26027001000,Census Tract 10, Cass County, Michigan,1517,12,426,637,316,126
1400000US26027001100,26027001100,Census Tract 11, Cass County, Michigan,1057,43,245,421,250,98
1400000US26027001200,26027001200,Census Tract 12, Cass County, Michigan,1261,25,343,691,127,75
1400000US26027001500,26027001500,Census Tract 15, Cass County, Michigan,1713,49,554,716,288,106
1400000US26027001600,26027001600,Census Tract 16, Cass County, Michigan,1487,48,415,655,229,140
1400000US26027001700,26027001700,Census Tract 17, Cass County, Michigan,2096,50,642,923,310,171
1400000US26027001800,26027001800,Census Tract 18, Cass County, Michigan,3064,126,641,1290,656,351
1400000US26027001900,26027001900,Census Tract 19, Cass County, Michigan,2027,63,771,757,373,63
1400000US26027002000,26027002000,Census Tract 20, Cass County, Michigan,1682,41,644,656,228,113
1400000US26027002100,26027002100,Census Tract 21, Cass County, Michigan,2262,247,886,698,341,90
1400000US26027002200,26027002200,Census Tract 22, Cass County, Michigan,2520,211,813,817,576,103
1400000US26029000100,26029000100,Census Tract 1, Charlevoix County, Michigan,723,29,189,303,151,51
1400000US26029000200,26029000200,Census Tract 2, Charlevoix County, Michigan,570,18,188,244,82,38
1400000US26029000300,26029000300,Census Tract 3, Charlevoix County, Michigan,1035,8,295,489,167,76
